bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,calculado_host_listings_count,distance_to_empire_state
Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2,0.6006893896636157
Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,1,7.687548137739818
Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,1,6.588923340053378
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,1,0.8978227868726268
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,1,7.291151070017175
Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,1,6.140044277494495
Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,4,3.9129619732171204
Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,1,6.327433286455933
Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1,1.399412100481722
Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,3,8.92011395480435
Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,1,5.920716132772886
Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,1,2.2077799738235533
Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1,5.213990712333171
Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1,6.419105009778295
Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,1,8.703355941481332
Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,2,6.224831333349524
Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,1,4.109625014792982
Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,6,7.572247746390094
Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,6,7.6539895140482415
Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,6,7.636128372011682
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2,8.153951242465665
Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2,10.324859168033191
Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,1,14.169098546214402
Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,1,2.0867315882210797
Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,3,14.05375553474911
Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,1,2.1379333446281685
Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1,7.654122192892837
Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,3,4.98957156225202
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2,7.72216529735384
Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,3,8.875614285058859
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,1,7.54519154221728
Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,1,12.541535998030737
Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,4,3.8405970152515514
Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,1,9.544739571832162
Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,1,5.810999768767737
Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,1,4.670824152269144
Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,1,7.846123230895039
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,1,10.095384030093642
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,1,7.8989291396688035
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,1,7.949627422128368
Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2,6.421632744689721
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,3,8.514270232973782
Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,1,4.421963685517134
Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,1,6.481295802148812
Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,1,1.061464129994567
Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,1,4.934581275916509
Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,1,3.1906874115927835
Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,3,4.855610149757846
Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,1,3.1023361149879936
Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,1,4.528692487857119
Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,1,0.8529666970075181
Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,2,3.7192209955842777
Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,2,8.02921830960489
Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,2,6.671219733209172
Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1,1.3520809179703597
Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,1,8.348138456259942
Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1,4.598385509501514
Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,2,2.831204198280564
